"","eccentricity","folded_direction_content","abs_direction_content","folded_displacement","abs_displacement","target_spacing","target_number","subject","folded_response_with_carrier","abs_response_cw"
"262",6.66666666666667,0.4,0.4,-1.1390625,-1.1390625,2.6179938779915,16,"je",TRUE,TRUE
"263",6.66666666666667,0.4,-0.4,-1.1390625,1.1390625,2.0943951023932,20,"je",TRUE,FALSE
"264",6.66666666666667,0.4,0.4,-1.1390625,-1.1390625,2.0943951023932,20,"je",TRUE,TRUE
"265",6.66666666666667,0.4,0.4,-0.0333333333333333,-0.0333333333333333,10.471975511966,4,"je",TRUE,TRUE
"266",6.66666666666667,0.4,-0.4,-0.0666666666666667,0.0666666666666667,10.471975511966,4,"je",TRUE,FALSE
"267",6.66666666666667,0.4,-0.4,-0.1,0.1,10.471975511966,4,"je",TRUE,FALSE
"268",6.66666666666667,0.4,0.4,-1.1390625,-1.1390625,2.0943951023932,20,"je",TRUE,TRUE
"269",6.66666666666667,0.4,0.4,-1.1390625,-1.1390625,2.0943951023932,20,"je",TRUE,TRUE
"270",6.66666666666667,0.4,-0.4,-1.1390625,1.1390625,2.0943951023932,20,"je",TRUE,FALSE
"271",6.66666666666667,0.4,-0.4,-0.3375,0.3375,2.6179938779915,16,"je",FALSE,TRUE
"272",6.66666666666667,0.4,0.4,0.15,0.15,10.471975511966,4,"je",TRUE,TRUE
"273",6.66666666666667,0.4,-0.4,-0.225,0.225,2.6179938779915,16,"je",TRUE,FALSE
"274",6.66666666666667,0.4,-0.4,-0.15,0.15,10.471975511966,4,"je",FALSE,TRUE
"275",6.66666666666667,0.4,-0.4,-0.3375,0.3375,2.0943951023932,20,"je",TRUE,FALSE
"276",6.66666666666667,0.4,-0.4,-0.50625,0.50625,2.0943951023932,20,"je",TRUE,FALSE
"278",6.66666666666667,0.4,-0.4,-1.1390625,1.1390625,2.6179938779915,16,"je",TRUE,FALSE
"279",6.66666666666667,0.4,-0.4,0.15,-0.15,10.471975511966,4,"je",TRUE,FALSE
"281",6.66666666666667,0.4,0.4,-0.15,-0.15,10.471975511966,4,"je",TRUE,TRUE
"282",6.66666666666667,0.4,-0.4,-0.225,0.225,2.6179938779915,16,"je",TRUE,FALSE
"284",6.66666666666667,0.4,0.4,-0.225,-0.225,2.6179938779915,16,"je",TRUE,TRUE
"285",6.66666666666667,0.4,0.4,-1.1390625,-1.1390625,2.0943951023932,20,"je",TRUE,TRUE
"287",6.66666666666667,0.4,-0.4,0.15,-0.15,10.471975511966,4,"je",TRUE,FALSE
"289",6.66666666666667,0.4,0.4,-1.1390625,-1.1390625,2.0943951023932,20,"je",TRUE,TRUE
"290",6.66666666666667,0.4,-0.4,-0.225,0.225,5.23598775598299,8,"je",TRUE,FALSE
"291",6.66666666666667,0.4,-0.4,-0.0666666666666667,0.0666666666666667,5.23598775598299,8,"je",TRUE,FALSE
